"","Rating","Text"
"1",5,"  It is a amazing film it has inspired me to come put and tell my peronts that i am gay. It is the nest film that i have seen in a long time."
"2",4,"  A great coming of age story focusing on a gay teen, that shows the struggles of being in the closet and coming out to friends and family in a great way. I love the LGBT representation in this and the movie itself is a great mix of funny and emotional. Definitely recommend seeing it!"
"3",4.5,"  This movie was nice without being overly saccharine. Hufflepuff-esque one might say. Hitting all the right notes, Love, Simon showcases an accurate interpretation of a young gay adolescent; from the way that Simon's attention quickly jumps from potential suitor to potential suitor or his aptly decorated room and penchant for Panic! At The Disco.However, this movie's lack of.. anything, lack of advertising and lack of flair, leaves it stuck in the middle with little development of the characters. The characters, while relatable and each woven easily into the narrative are almost two dimensional, flat and limp on the screen. This two dimensionality of the characters fortunately, does not take away from the general enjoyment of the film and the director seemed to be striving for a film about the average and has achieved his goal.My one wish for this film? More screen time for the main love interest. Spoiler alert. Bram, who turns out to be Blue lacks dialogue or any meaningful connection with Simon. It is heavily implied that they have spent time together off screen but apart from a drunken montage together, they barely see each other.In conclusion, great movie but not the one to watch if you're looking for depth and meaning and metaphors. Enjoyable, light hearted but still touching on serious issues. A must see for any LGBT+ teen.Kudos to Greg Berlanti for adding just a touch more diversity to Hollywood's white washed, overplayed, heterosexual rom-com scene."
"4",5,"  A very nice movie indeed. Made me feel ""Gay""! Yay!"
"5",4,"  Really good. Saw it with my husband (and without our teenage daughter) and we both liked it quite a bit. I'm a sucker for a good ending."
"6",5,"  Love, Simon is just what has been needed for awhile now and it does what other movies in this genre hasn't really been able to achieve. It's a feel good movie that will make you laugh, cry, and make you leave the theater feeling there's some good in the world. And who wouldn't want Josh Duhamel and Jennifer Gardner as your mom and dad?"
"7",4,"  Great all around movie"
"8",5,"  Love, Simon is one of the best movies i've ever seen. Like Simon inspires Blue, their story inspired me. Everybody deserves a great love story."
"9",5,"  Amazing, great plot great pace, made me laugh and and cry and leave feeling good"
"10",5,"  If you don't like this movie, it's most likely because you're straight"
"11",5,"  Best movie I have ever seen!! It gets the message sent without Shoving it in your face! It doesn't try to be an incredible movie yet still is! Incredible cast and characters! Highly recommend!"
"12",5,"  I loved this film so much. I could relate to it on many levels as an openly gay teen. My coming out is still happening 5 years after my big 'outing' and this movie has brought up so many emotions I didn't think I'd have to face again. Anger, sadness and joy. These emotions being produced by this film shows to all that the representation of the LGBT community is not only there but very nearly perfect. Thankyou cast and producers for this truly wonderful film."
"13",5,"  best movie I have ever seen. i never realized how little i related to couples on screen untill simon kissed Blue and I, and the ENTIRE theater erupted in screaming and clapping and tears. this is the most I have ever trully FELT a movie and its just so important."
"14",5,"  Amazing movie and very relatable"
"15",5,"  O filme È perfeito, simples, nada extraordin√°rio mas consegue fazer o p√∫blico se identificar totalmente com Simon."
"16",2.5,"  This movie was alright...."
"17",5,"  Amazing, funny , emotional. The best film I've seen all year . Possibly an all time favourite."
"18",5,"  This film is amazing. The story is so important in todays society, it is one that needs to be portrayed to a mass audience and thankfully it has, lets hope that audiences give back and go and see it. It's got hilarious moments, touching moments, moments you want to shout out at the screen, moments that make you cry, and most importantly, moments that make you think. Maybe I am biased as someone who is a gay teen, but I feel like this film has something for everybody, whilst giving such an important voice the LGBTQ community. One of the best films I have ever seen."
"19",5,"  This movie was freaking amazing, it was perfect in every aspect! I loved the development of characters, the suspense in some parts, and just the overall romantic aspect of it. It was so beautiful and I hope there is a sequel as the director teased. Love, Simon is definitely one of my favorite movies of all time!!!!"
"20",5,"  This made me cry so many times. It truly is beautiful."
"21",5,"  A fantastic, happy coming-of-age LGBT movie that I think teens today deserve. It's not about the hard, scary struggle that many can relate to, but it's the romcom with representation that I wish I could have had when I was young. Well written, AMAZINGLY acted, and genuine throughout."
"22",5,"  Best movie I've seen this year, not close. Start to finish i was into the film. Great message and just an overall awesome film."
"23",3.5,"  A sweet coming out story that normalizes being gay, however, hits some standard beats in the coming-of-age genre and occasionally forces sentimentality upon its subjects. The representation and joy the film depicts makes up for its overall lack of nuance. Let there be more pictures like Love, Simon, and hopefully in the future, add some subtlety. What we have now, though is a film that could ease the pain of many teenagers and those who see themselves in Simon's plight, and help them accept who they are. Rating: 71"
"24",5,"  So far my favourite movie ever. Robinson was absolutely stunning as were Langford, Shipp, Garner and Duhamel. Katherine Langford has come to be my favourite actress in the current moment and her portrayal as Simon's best friend Leah was amazing. The script was very well done and quite tight as well. The directing was great and overall loved it. 10/10, would recommend."
"25",5,"  Love, Simon was a very well directed movie. It was a heart-warming film that showed the true struggle of coming out and being gay. This is well composed, and is a lovely representation of how unfair gay lives are. If I could give it more than 5 stars, I would definitely do so. A big thank you to the producers of this amazing movie."
"26",3.5,"  A fun and refreshing take on the coming-of-age tale. A great introduction into a topic that isn't addressed enough and that is done in a fun and safe way. 'Love, Simon' will make you smile."
"27",3.5,"  Simon is a sociable and normal looking 17-year-old, he has a close-knit group of friends at school, a loving and liberal-minded family at home, but he is carrying a huge burden on his young shoulders. Not that he hasn?t told anyone he is gay and is corresponding anonymously online with another closeted school mate but that he?s a lead character in a studio picture who happens to be gay. One can only imagine the expectations and what will happen if this film does not perform. Thankfully, we have a smart and breezy script that normalizes the coming out process and treats it as just another adolescent experience like having your first kiss, or discovering one?s sexuality, whether it is straight, gay or otherwise undefined. Less rom-com but more a coming of age drama with an element of romantic mystery as Simon tries to find out the secret identity of the person he is sharing his most personal inner feelings with, this is an extremely likeable film with an equally likeable lead. Greg Berlanti?s direction is solid and he steers the film away from either being too heavy or too twee. For the most part, the script feels real and believable, with more than a few good zingers spread around for maximum comedic effect. The cast is good-looking and charming/inoffensive enough to appeal to an audience outside the niche queer cinema crowd. Mission accomplished then? Probably, but the coming out of mainstream Hollywood Cinema is only beginning and hopefully the positive critical response and box office will mean that we can have more enjoyable LGBTQ+ films that doesn?t have to be serious (Moonlight), arty (Call Me By Your Name) or tragic (Brokeback Mountain) in order to get noticed or seen."
"28",5,"  These days it isn't often that I watch a movie that truly touched my soul. Love, Simon is the kind of film that's funny, sensitive, brave and above all else hopeful. It's the kind of film you want to watch again straight after the credits roll. Every character had an important role to play. The parents, the teachers, the peers, they are all necessary in telling this story, which more than anything is a love story. I'm calling it right now this is the best film of the year and I'll even go as far as saying it's now in my top 5 favourite movies of all time. If you only watch one movie this year let it be this one. I promise you won't regret it."
