"","Rating","Text"
"1",5,"  Great Movie! Loads of fun and a glimpse into what our future will be like."
"2",2,"  CGI was good but childish storyline and characters makes it a very forgettable movie."
"3",5,"  Led by charismatic performances from Tye Sheridan and Olivia Cooke, Ready Player One is proof that Steven Spielberg is still going strong. It combines state of the art special effects, a simple yet heartwarming story, and more pop culture references that anyone could possibly count in the best way possibly, and features the single greatest large-scale battle I've ever seen put to film. It's not perfect, but it might be the single most fun movie of 2018 so far."
"4",2,"  If tou have not read the book this isn't a bad movie. I did read and loved the book and was excited to see the movie. However the movie diverged from the book quite a lot in my opinion and too much was lost in attempt to fit the storyline into a single movie. It has be generisized for hollywood. There was not enough character development which made the emotions feel forced. There was so much potential for this movie and I think the squandered it. It should have been a trilogy. I don't think this will be a movie I will watch more than once."
"5",4,"  Just like the song ""A world with pure imagination"""
"6",4.5,"  This is just one of the movies that you cant watch only once. May be the best movie of March"
"7",1,"  Literally the worst movie I have ever seen. If you don't already play an obnoxious amount of video games you will despise this movie. My husband dragged me to this movie and I feel like I have wasted over 2 hrs of my time ."
"8",4.5,"  Ready Player One is definitely one of my Spielberg favourites. I loved the action and plot in general."
"9",4,"  Didn't know anything about the movie before watching it, and man did I like it :) You kind of have to be a gamer and a pop culture nerd to like it, but it you are, you are going to love it."
"10",5,"  Love it. like reliivng your teen years. Broght back so many memories, a reall buz for a scfi fantasy horror movie kid of the 70's & 80's. �de me relive them all."
"11",1,"  If you read the book and then watch this movie, be prepared to live disappointment, feel actual disappointment for the first time in your life. I can't get back the time I waisted, nor the money. Aside from the insane graphics, this is what you call a major fuck up."
"12",4.5,"  Ready Player One is directed by Steven Spielberg and stars Tye Sheridan, Olivia Cooke, Mark Rylance, Simon Pegg, T.J Miller and Ben Mendelsohn.It tells the story Based on the Ernest Cline's 2011 novel of the same name, in the not to distance future, where the planet is pretty much mess up. When one James Halliday (Mark Rylance) and his partner Ogden Morrow (Simon Pegg) create the first virtual reality world called the Oasis, it becomes an instant success. It's a place in which you can be anyone and do whatever you want and the perfect place to escape the awful world.After parting ways with his business partner, Halliday runs the company alone and when he finally dies years later, he releases his final challenge to the world. He tells people across the globe that he has placed an Easter Egg deep within the Oasis and whoever finds it will inherit all of his assets and the Oasis itself. Of course, to find it, you have to first find three keys, or clues, to unlock the egg's precise location, and it's no easy task.Set in Columbus, Ohio, we meet Wade Watts (Tye Sheridan), a young man who lives in the Stacks. A trailer park from hell, Wade has a pretty miserable existence in the real world. But he finds solace in the Oasis as his cool avatar Parzival, hanging with his avatar pals and desperately trying to crack Halliday's challenge. When Wade/Parzival meets Art3mis (Olivia Cooke), his entire game and life changers.The performances are all top-notch, especially from Sheridan and Cooke, who gel well together onscreen. Cooke particularly is engaging when she's being her avatar Art3mis, full of cute swagger and confidence. Ben Mendelsohn chews it up with the best of them, and it's perfectly fine for him to go over the top. Other standouts include the always-good Mark Rylance, as the sweet, kind-hearted, geeky moral centre of the film.The true star of the film, however, is the Oasis. It's simply the place to be, especially through Spielberg's visual mind. No offense to the actors, but you are instantly sucked in the minute any of the characters put on their VR goggles, and you're completely engrossed in the action sequences. The sights and sounds are nothing short of amazing, and you can actually feel Spielberg just giddily revelling in all the high-tech visuals he can create.The film is also an ode to the 1980s, Ready Player One spoke to me on many levels. I felt like it was made for me. Author Cline co-wrote the script with Zak Penn, and the two are kindred spirits, stuffing the film full of that era's references. So is Spielberg, to some degree, because it's in the late '70s and '80s when the director perfected his craft.It's not just the '80s being represented in the Oasis, but a number of great pop culture references, from beloved characters like the Iron Giant to King Kong and so much more. Ready Player One could be one of those movies that can appeal to just about everybody, even younger audiences who should appreciate the high-tech gadgetry and modern-day gamer mentality.Penn and Cline have craft a narrative that isn't necessarily surprising in its set-up but grabs you nonetheless, and while the film does seem to drag a little the closer we come to the climax, along with some characters sadly unused, Ready Player One is a Triumph."
"13",4.5,"  For a pertinent use of pop culture icons. Being a critic towards production using fan service to well their movies. Showing that geek community is important and can't be neglected"
"14",5,"  I saw this in 3D imax, which was AMAZING. Being 3D, it was like being in the virtual reality right along with the characters. The story was simple enough to follow and challenging enoug to provoke contemplation. It was neither a drama, action, romcom, or horror movie. It was all of them. This was as well rounded, innovative and visually stunning as avator. HIGHLY recommend."
"15",5,"  AWESOME MOIVE!!!!!!!!!!!!"
"16",5,"  It's totally awesome. A fantastic experience in the Oasis."
"17",0.5,"  If you like seeing a random sequence of things that showed up in 1980's media uninterrupted by plot or character development, this is the movie for you."
"18",4.5,"  READY PLAYER ONE will surely be one of the most exciting films to come out this year: it is another instant classic that is another vibrant part of Steven Spielberg's almost unparalleled catalogue of work. Younger filmmakers could learn a lot from this old master."
"19",4,"  Stephan Spielberg knows his audience. If you understand and appreciate the message behind the movie in addition to the glorious cultural references, you will love this movie guaranteed. IF you don't get any of it, well the movie wasn't meant for you and I suggest you leave it be. I admit the story is a result of a weird mashup but the movie is an enjoyable one nonetheless."
